[2024-07-26 11:37:34.009] [APP] [info] ::: LOG SESSION STARTED :::
[11:37:34.011813] [Animation] [info] (th=8676) Log level for 'Animation' set to 'info'
[11:37:34.011816] [APP] [warning] (th=8676) Change animation log level to off
[11:37:35.047447] [Analytics] [info] (th=14596) Log level for 'Analytics' set to 'info'
[11:37:37.072813] [BaseScriptSystem] [info] (th=8676) Log level for 'BaseScriptSystem' set to 'info'
[11:37:37.120108] [MQYouTubeController] [info] (th=8676) Log level for 'MQYouTubeController' set to 'info'
[11:37:37.120113] [MQYouTubeController] [info] (th=8676) Videos received
[11:37:38.661395] [MQObjectInspectorController] [info] (th=8676) Log level for 'MQObjectInspectorController' set to 'info'
[11:37:39.080706] [FormulaController] [info] (th=8676) Log level for 'FormulaController' set to 'info'
[11:37:40.104082] [SoundSystemOpenAL] [info] (th=11752) Log level for 'SoundSystemOpenAL' set to 'info'
[11:37:40.130382] [BasePhysicsSystem] [info] (th=11752) Log level for 'BasePhysicsSystem' set to 'info'
[11:37:43.349727] [APP] [info] (th=11752) GameCore initialization time: 3
[11:37:43.400704] [BaseSymbolTable] [error] (th=11752) variable already exists 'object__5DF234A2_34A8_4A52_9CFE_D5D56A5A1D9C__beltObj'
[11:37:43.401999] [BaseSymbolTable] [error] (th=11752) variable already exists 'object__2E6AB703_2660_4B98_9560_4D4DBEF40E1D__beltObj'
[11:37:43.402871] [BaseSymbolTable] [error] (th=11752) variable already exists 'object__B8AC09D7_9B86_444B_9E71_DE45D2853F71__beltObj'
[11:37:43.403725] [BaseSymbolTable] [error] (th=11752) variable already exists 'object__544FA778_DB11_4765_8538_2CC717FB1129__beltObj'
[11:37:43.404593] [BaseSymbolTable] [error] (th=11752) variable already exists 'object__A8B9D5FF_733C_4A61_9B90_5FC5D0D251B5__beltObj'
[11:37:43.405478] [BaseSymbolTable] [error] (th=11752) variable already exists 'object__08ABFBE2_9009_43FF_AA7F_2F7E06D63A71__beltObj'
[11:37:43.406335] [BaseSymbolTable] [error] (th=11752) variable already exists 'object__4C64DD70_296A_44C0_980A_71050C14456C__beltObj'
[11:37:43.407180] [BaseSymbolTable] [error] (th=11752) variable already exists 'object__F13901DD_EA8F_41E8_9971_6527D1C93318__beltObj'
[11:37:43.408490] [BaseSymbolTable] [error] (th=11752) variable already exists 'object__A7BEA4DE_E702_45F9_88F4_B44B4D84DF47__beltObj'
[11:37:43.409631] [BaseSymbolTable] [error] (th=11752) variable already exists 'object__20803ED9_F279_473F_BFD8_D19A1F80F0BA__beltObj'
[11:37:43.410520] [BaseSymbolTable] [error] (th=11752) variable already exists 'object__D3E0FE10_F008_4D44_AC16_624322785129__beltObj'
[11:37:43.411396] [BaseSymbolTable] [error] (th=11752) variable already exists 'object__9EB2DAFC_2FCB_40A4_9A7B_F6C5960A2100__beltObj'
[11:37:43.412274] [BaseSymbolTable] [error] (th=11752) variable already exists 'object__BF08D163_E918_4D2F_895F_3FE91750B8C2__beltObj'
[11:37:43.413156] [BaseSymbolTable] [error] (th=11752) variable already exists 'object__3A2EF143_17A4_44D4_B91D_5E69D7AA0F75__beltObj'
[11:37:43.414014] [BaseSymbolTable] [error] (th=11752) variable already exists 'object__17AD6849_0888_4175_896F_573D972C6274__beltObj'
[11:37:43.414935] [BaseSymbolTable] [error] (th=11752) variable already exists 'object__3A56EFB0_4C39_4EBB_A1A2_06488936DB27__beltObj'
[11:37:43.416486] [BaseSymbolTable] [error] (th=11752) variable already exists 'object__CEC41C62_3DEE_4A03_81F4_8651987D5CEB__beltObj'
[11:37:43.417474] [BaseSymbolTable] [error] (th=11752) variable already exists 'object__06E8EF2B_8958_498B_AD24_2002C7272644__beltObj'
[11:37:43.418385] [BaseSymbolTable] [error] (th=11752) variable already exists 'object__713ED70B_19C9_4AD6_9D9E_875A0808744F__beltObj'
[11:37:43.419280] [BaseSymbolTable] [error] (th=11752) variable already exists 'object__0DEF79FD_DB7A_4E1F_AE63_2B51C694FC38__beltObj'
[11:37:43.420223] [BaseSymbolTable] [error] (th=11752) variable already exists 'object__7E6649F7_4D3E_41F1_849E_CDBDF433EB61__beltObj'
[11:37:43.421154] [BaseSymbolTable] [error] (th=11752) variable already exists 'object__B0BE46D4_8EB6_445E_9979_02C3563C5CC6__beltObj'
[11:37:43.422237] [BaseSymbolTable] [error] (th=11752) variable already exists 'object__09308E59_D0E2_40D1_93C4_81C31DAD6D6A__beltObj'
[11:37:43.423748] [BaseSymbolTable] [error] (th=11752) variable already exists 'object__33A1A33F_5E3B_4717_9548_C6A03DEAFDF9__beltObj'
[11:37:43.424910] [BaseSymbolTable] [error] (th=11752) variable already exists 'object__E2BC62DE_A460_4CA4_B2BD_443FDCEC9E81__beltObj'
[11:37:43.425931] [BaseSymbolTable] [error] (th=11752) variable already exists 'object__8C6D9A94_59E1_4C8C_9DB5_95E674FBF8DB__beltObj'
[11:37:43.428356] [BaseSymbolTable] [error] (th=11752) variable already exists 'object__3F3F42EE_27AC_464C_BF14_700FEAB199CA__direction'
[11:37:43.428734] [BaseSymbolTable] [error] (th=11752) variable already exists 'object__765079E5_FD1A_4A88_9084_EAC30BA74DDB__direction'
[11:37:43.429046] [BaseSymbolTable] [error] (th=11752) variable already exists 'object__9B2160AE_A37B_4C87_89BA_3CF0AD9220A3__direction'
[11:37:43.429336] [BaseSymbolTable] [error] (th=11752) variable already exists 'object__F3DCCB5A_4AC8_4AFD_AEC3_8253BE5C286B__direction'
[11:37:43.429945] [BaseSymbolTable] [error] (th=11752) variable already exists 'object__10450351_E3A1_49A1_9423_6BA8D48FB65C__direction'
[11:37:43.430618] [BaseSymbolTable] [error] (th=11752) variable already exists 'object__4F20A541_4025_45C1_BA57_9A5764FDA6F2__direction'
[11:37:43.431265] [BaseSymbolTable] [error] (th=11752) variable already exists 'object__C0DA5A26_8272_46F6_A4D1_4AEA2810C6A2__direction'
[11:37:44.444434] [Scene] [info] (th=11752) Log level for 'Scene' set to 'info'
[11:37:50.669342] [DX11View] [info] (th=11752) Log level for 'DX11View' set to 'info'
[11:38:59.570380] [APP] [info] (th=8676) ::: LOG SESSION ENDED :::
